Ano;Mês;UF;Precipitação Total;Temperatura Média
2014;Janeiro;Piauí;877.0;27.04
2014;Fevereiro;Piauí;2166.8;26.25
2014;Março;Piauí;2358.0;25.77
2014;Abril;Piauí;2332.6;24.46
2014;Maio;Piauí;1384.8;25.28
2014;Junho;Piauí;267.0;26.79
2014;Julho;Piauí;43.6;26.51
2014;Agosto;Piauí;10.6;27.19
2014;Setembro;Piauí;52.0;27.28
2014;Outubro;Piauí;365.4;26.9
2014;Novembro;Piauí;1319.6;25.4
2014;Dezembro;Piauí;900.6;24.36
2014;Janeiro;Rio Grande do Norte;168.4;23.87
2014;Fevereiro;Rio Grande do Norte;228.0;20.9
2014;Março;Rio Grande do Norte;460.0;19.6
2014;Abril;Rio Grande do Norte;355.8;20.03
2014;Maio;Rio Grande do Norte;810.0;21.06
2014;Junho;Rio Grande do Norte;897.2;20.74
2014;Julho;Rio Grande do Norte;451.0;21.5
2014;Agosto;Rio Grande do Norte;118.0;23.18
2014;Setembro;Rio Grande do Norte;237.6;23.54
2014;Outubro;Rio Grande do Norte;62.4;22.81
2014;Novembro;Rio Grande do Norte;52.8;20.85
2014;Dezembro;Rio Grande do Norte;32.4;17.97
2014;Janeiro;Sergipe;79.8;26.31
2014;Fevereiro;Sergipe;196.8;22.99
2014;Março;Sergipe;277.2;25.88
2014;Abril;Sergipe;697.6;26.22
2014;Maio;Sergipe;642.2;23.43
2014;Junho;Sergipe;604.4;22.02
2014;Julho;Sergipe;642.4;22.57
2014;Agosto;Sergipe;286.4;21.6
2014;Setembro;Sergipe;227.4;23.82
2014;Outubro;Sergipe;381.2;24.6
2014;Novembro;Sergipe;380.8;25.4
2014;Dezembro;Sergipe;125.6;25.83
2014;Janeiro;Acre;918.6;12.78
2014;Fevereiro;Acre;826.2;14.21
2014;Março;Acre;1463.4;16.64
2014;Abril;Acre;846.6;16.75
2014;Maio;Acre;594.6;15.12
2014;Junho;Acre;159.8;12.08
2014;Julho;Acre;32.2;11.9
2014;Agosto;Acre;181.2;13.66
2014;Setembro;Acre;294.6;10.35
2014;Outubro;Acre;289.4;8.7
2014;Novembro;Acre;814.6;12.45
